"Amazon AWS",150.222.202.0/24
"Amazon AWS",151.148.16.10/31
"Amazon AWS",3.4.0.0/24
"Amazon AWS",3.4.12.35/32
"Amazon AWS",3.4.12.36/32
"Amazon AWS",15.177.83.0/24
"Amazon AWS",15.185.0.0/16
"Amazon AWS",15.220.252.0/22
"Amazon AWS",15.221.35.0/24
"Amazon AWS",15.230.39.28/31
"Amazon AWS",15.248.28.0/22
"Amazon AWS",16.30.0.0/16
"Amazon AWS",16.49.0.0/16
"Amazon AWS",18.96.192.0/19
"Amazon AWS",40.167.0.0/16
"Amazon AWS",52.93.127.118/32
"Amazon AWS",52.93.178.205/32
"Amazon AWS",52.94.26.0/23
"Amazon AWS",52.94.152.44/32
"Amazon AWS",52.95.182.0/23
"Amazon AWS",54.240.236.54/32
"Amazon AWS",54.247.0.0/16
"Amazon AWS",54.248.0.0/15
"Amazon AWS",56.128.0.0/16
"Amazon AWS",150.222.52.224/27
"Amazon AWS",3.4.12.39/32
"Amazon AWS",3.4.15.48/29
"Amazon AWS",13.248.72.0/24
"Amazon AWS",15.230.4.129/32
"Amazon AWS",15.230.39.196/31
"Amazon AWS",15.251.0.9/32
"Amazon AWS",35.71.99.0/24
"Amazon AWS",51.46.0.0/15
"Amazon AWS",52.119.252.0/22
"Amazon AWS",52.219.212.0/22
"Amazon AWS",54.148.0.0/15
"Amazon AWS",69.107.7.16/29
"Amazon AWS",99.77.130.0/24
"Amazon AWS",150.222.234.52/31
"Amazon AWS",150.222.234.68/31
"Amazon AWS",180.163.57.128/26
"Amazon AWS",15.193.11.0/24
"Amazon AWS",15.230.68.192/26
"Amazon AWS",18.200.0.0/16
"Amazon AWS",52.93.19.0/24
"Amazon AWS",52.93.52.167/32
"Amazon AWS",52.93.91.102/32
"Amazon AWS",52.93.152.197/32
"Amazon AWS",54.206.0.0/16
"Amazon AWS",54.240.236.69/32
"Amazon AWS",99.150.56.0/21
"Amazon AWS",108.175.56.0/22
"Amazon AWS",150.222.44.192/26
"Amazon AWS",150.222.48.128/27
"Amazon AWS",150.222.52.32/27
"Amazon AWS",150.222.96.0/24
"Amazon AWS",150.247.33.0/24
"Amazon AWS",13.248.124.0/24
"Amazon AWS",15.193.2.0/24
"Amazon AWS",15.220.222.0/23
"Amazon AWS",15.230.67.64/26
"Amazon AWS",15.230.212.0/23
"Amazon AWS",16.22.0.0/16
"Amazon AWS",23.228.193.0/24
"Amazon AWS",35.50.238.0/24
"Amazon AWS",52.93.40.0/24
"Amazon AWS",52.93.178.136/32
"Amazon AWS",52.93.199.89/32
"Amazon AWS",52.219.192.0/23
"Amazon AWS",99.77.132.0/24
"Amazon AWS",104.255.59.82/32
"Amazon AWS",150.222.38.0/26
"Amazon AWS",3.4.12.41/32
"Amazon AWS",13.204.0.0/14
"Amazon AWS",15.181.247.0/24
"Amazon AWS",15.230.200.0/24
"Amazon AWS",16.12.24.0/21
"Amazon AWS",18.232.0.0/14
"Amazon AWS",51.34.0.0/16
"Amazon AWS",52.82.169.0/28
"Amazon AWS",52.93.79.0/24
"Amazon AWS",52.93.112.0/24
"Amazon AWS",52.93.178.138/32
"Amazon AWS",54.239.0.224/28
"Amazon AWS",54.239.48.0/22
"Amazon AWS",56.242.0.0/16
"Amazon AWS",64.252.118.0/24
"Amazon AWS",76.223.170.112/28
"Amazon AWS",99.77.244.0/24
